"number";"player";"team";"apps";"min";"goals";"NPG";"a"
419;"Anthony Bermont";"Lens";10;68;0;0;0
420;"Lucas Michal";"Metz,Monaco";11;245;0;0;0
421;"Nathaniel Adjei";"Lorient";15;830;0;0;0
422;"Arthur Vermeeren";"Marseille";20;806;0;0;1
423;"Rabby Nzingoula";"Strasbourg";4;44;0;0;0
424;"Djaoui Cissé";"Rennes";24;965;0;0;0
425;"Paul Argney";"Le Havre";1;90;0;0;0
426;"Mikayil Faye";"Rennes";1;5;0;0;0
427;"Vincent Burlet";"Lille";1;13;0;0;0
428;"Rafik Messali";"Toulouse";12;493;0;0;0
429;"Darryl Bakola";"Marseille";8;46;0;0;0
430;"Daren Mosengo";"Le Havre";7;90;0;0;0
431;"Derek Cornelius";"Marseille";2;58;0;0;0
432;"Jeffrey de Lange";"Marseille";5;450;0;0;0
433;"Mathis Amougou";"Strasbourg";12;407;0;0;0
434;"Clément Akpa";"Auxerre";26;1940;0;0;0
435;"Theo Bair";"Auxerre";2;4;0;0;0
436;"Lasso Coulibaly";"Auxerre";17;271;0;0;0
437;"Mark McKenzie";"Toulouse";29;2407;0;0;2
438;"Mathieu Acapandié";"Nantes";6;258;0;0;0
439;"Florent Hanin";"Angers";25;857;0;0;0
440;"Melvin Zinga";"Angers";3;219;0;0;0
441;"Emmanuel Biumla";"Angers";9;378;0;0;0
442;"Glen Kamara";"Rennes";4;47;0;0;0
443;"Ibrahim Kanté";"Brest";1;6;0;0;0
444;"Moïse Bombito";"Nice";2;154;0;0;0
445;"Enzo Molébé";"Lyon";1;7;0;0;0
446;"Hong Hyun-Seok";"Nantes";6;281;0;0;0
447;"Serigne Diop";"Brest";2;2;0;0;0
448;"Damián Pizarro";"Le Havre";2;15;0;0;0
449;"Patrik Carlgren";"Nantes";3;181;0;0;0
450;"Jaydee Canvot";"Toulouse";2;180;0;0;0
451;"Juma Bah";"Nice";26;1947;0;0;0
452;"Sékou Doucouré";"Nantes";1;37;0;0;0
453;"Kyllian Antonio";"Lens";4;183;0;0;1
454;"Marius Courcoul";"Angers";18;336;0;0;0
455;"Marius Louãr";"Angers";9;535;0;0;0
456;"Samuel Nibombé";"Monaco";1;1;0;0;0
457;"Mathis Saka";"Toulouse";1;2;0;0;0
458;"Aladji Bamba";"Monaco";18;830;0;0;2
459;"Amadou Cissé";"Strasbourg";1;90;0;0;0
460;"Everton Pereira";"Nice";2;71;0;0;0
461;"Bernard Nguene";"Nice";6;111;0;0;0
462;"Raphaël Le Guen";"Brest";6;365;0;0;0
463;"Henrick Do Marcolino";"Rennes";1;1;0;0;0
464;"Justin Bourgault";"Brest";1;12;0;0;0
465;"Fredrik Oppegård";"Auxerre";23;1238;0;0;0
466;"Nidal Celik";"Lens";8;637;0;0;0
467;"Aaron Anselmino";"Strasbourg";3;12;0;0;0
468;"Hamidou Makalou";"Brest";17;292;0;0;0
469;"Noham Kamara";"Lyon";2;2;0;0;0
